aua067,17279368650176
aua065,21173299880416
st01b,440666652032
mama,4140833344
aum018,12867785019776
s004a,2719343815104
vt02as,2249156856288
v587b,3246602061568
v255aj,1986640381920
f20184,600897413600
f20188,693364432096
vc388,110117531264
v252bw,2499308958208
v590b,9427008779904
v583b,5235577442272
vc389,101945702176
v591b,3429539961824
aua066,19723771049152
s005a,3091320441696
s005c,3169647397280
s006b,3090888448608
s007a,3138851038624
test,2115853696
s008a,3041209861952
frin01,18833931584
t,7613613120
pcal1208,19652263872
0001,1999694912
hb,10327368896
,174599961376
pol,1738164960
s005b,3172645839264
s004c,2704854625248
s004b,2719742716352
s006a,3196342399872
m0817,292992709632
g,2109966240
vc390,46350487296
v581b,1200078091616
v578b,1021037631008
aua060,21083094777536
s002a,4094192138464
s003c,4793056819904
sband,13506817984
g309,1207932480
g323,8424684480
pcal,72469097504
s003d,4830447635296
m1007,219038423040
s003b,4600928118912
m1021,94539949184
vt,5905536032
aumtc1,6047256214240
s003a,4605601979872
vo0021,2199900303040
aum017,16053232855008
mf0013,7542104224
mf0006,7701764320
hybrid,69396672768
aua063,20419736114336
m0330,36506403840
m0401,213938263680
mf0001,3836051072
m0429,18148295968
mf0004,7698977216
mf0008,7696929056
mf0007,7706784320
aua064,769349850848
mf0009,7704752224
mf0011,7670383296
mf0014,7689772544
timetest,2862074688
m0916,357548014080
m0923,252592103040
vt02aq,4274032457760
v253d,5903765321376
v191c,2636501815296
v252bt,2498776018944
v587a,2849746403328
v255ai,2643160166592
preaum,6442402944
v558e,5290286679360
v589a,4877856884768
v586a,4496355494912
mf0010,7692125920
sbandpcal,1286028000
v253e,6012965911488
v191d,2960700242496
